Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity,Adm_way,Strength_measure,Key,Units
"AHOC, The Department of Anesthesiology",B05BB01,721280,Ringer-Laktat,0,infusionsvæske,250 ml,2592.6,174.0,104.3,7.0,,,178.8,12.0,,,59.6,4.0,74.5,5.0,44.7,3.0,,,,,59.6,4.0,,,59.6,4.0,,,,,134.1,9.0,,,29.8,2.0,74.5,5.0,,,,,119.2,8.0,104.3,7.0,29.8,2.0,29.8,2.0,29.8,2.0,44.7,3.0,14.9,1.0,14.9,1.0,104.3,7.0,29.8,2.0,14.9,1.0,29.8,2.0,89.4,6.0,134.1,9.0,,,,,178.8,12.0,134.1,9.0,,,44.7,3.0,208.6,14.0,29.8,2.0,,,149.0,10.0,,,14.9,1.0,44.7,3.0,89.4,6.0,,,14.9,1.0,29.8,2.0,44.7,3.0,250.0,1.0,IV,,"['B05BB01', '0', nan, 'IV']",174.0
"AHOC, The Department of Anesthesiology",B05BB01,740027,Ringer-laktat SAD,0,infusionsvæske,1000 ml,17702.64,828.0,491.74,23.0,620.02,29.0,812.44,38.0,213.8,10.0,363.46,17.0,513.12,24.0,470.36,22.0,171.04,8.0,769.68,36.0,791.06,37.0,85.52,4.0,620.02,29.0,,,,,748.3,35.0,256.56,12.0,363.46,17.0,342.08,16.0,171.04,8.0,320.7,15.0,598.64,28.0,342.08,16.0,,,213.8,10.0,448.98,21.0,555.88,26.0,406.22,19.0,149.66,7.0,128.28,6.0,149.66,7.0,171.04,8.0,64.14,3.0,256.56,12.0,85.52,4.0,363.46,17.0,128.28,6.0,,,705.54,33.0,106.9,5.0,812.44,38.0,384.84,18.0,213.8,10.0,106.9,5.0,384.84,18.0,171.04,8.0,427.6,20.0,,,427.6,20.0,598.64,28.0,64.14,3.0,1111.76,52.0,,,1000.0,1.0,IV,,"['B05BB01', '0', nan, 'IV']",828.0
"AHOC, The Department of Anesthesiology",B05BB01,740142,Natriumklorid isotonisk SAD,9,infusionsvæske,500 ml,1597.05,91.0,52.65,3.0,,,87.75,5.0,,,52.65,3.0,35.1,2.0,35.1,2.0,,,70.2,4.0,35.1,2.0,,,17.55,1.0,,,,,52.65,3.0,,,105.3,6.0,35.1,2.0,,,,,70.2,4.0,35.1,2.0,17.55,1.0,35.1,2.0,17.55,1.0,,,,,35.1,2.0,17.55,1.0,,,17.55,1.0,17.55,1.0,70.2,4.0,35.1,2.0,87.75,5.0,,,70.2,4.0,105.3,6.0,,,35.1,2.0,17.55,1.0,17.55,1.0,,,52.65,3.0,17.55,1.0,35.1,2.0,70.2,4.0,52.65,3.0,17.55,1.0,17.55,1.0,52.65,3.0,,,500.0,1.0,IV,GL,"['B05BB01', '9', 'GL', 'IV']",91.0
"AHOC, The Department of Anesthesiology",B05BB01,741975,Natriumklorid isotonisk SAD,9,infusionsvæske,100 ml,39004.56,2982.0,994.08,76.0,627.84,48.0,1046.4,80.0,235.44,18.0,1268.76,97.0,850.2,65.0,601.68,46.0,287.76,22.0,1334.16,102.0,1007.16,77.0,392.4,30.0,1373.4,105.0,,,,,1294.92,99.0,379.32,29.0,1543.44,118.0,837.12,64.0,497.04,38.0,915.6,70.0,1308.0,100.0,1085.64,83.0,418.56,32.0,1059.48,81.0,928.68,71.0,693.24,53.0,693.24,53.0,470.88,36.0,640.92,49.0,418.56,32.0,353.16,27.0,444.72,34.0,1268.76,97.0,235.44,18.0,784.8,60.0,981.0,75.0,143.88,11.0,1464.96,112.0,327.0,25.0,1530.36,117.0,771.72,59.0,340.08,26.0,575.52,44.0,1046.4,80.0,575.52,44.0,1098.72,84.0,353.16,27.0,1124.88,86.0,850.2,65.0,274.68,21.0,1085.64,83.0,170.04,13.0,100.0,1.0,IV,GL,"['B05BB01', '9', 'GL', 'IV']",2982.0
"AHOC, The Department of Anesthesiology",B05BB02,859784,Benelyte (ls),0,"inf.væske, opløsning",10 x 500 ml,11847.0,33.0,,,,,,,,,1077.0,3.0,,,,,,,,,1077.0,3.0,,,1077.0,3.0,,,,,,,718.0,2.0,,,718.0,2.0,,,718.0,2.0,,,,,1077.0,3.0,,,718.0,2.0,,,,,359.0,1.0,,,,,,,,,,,718.0,2.0,,,,,718.0,2.0,359.0,1.0,,,1077.0,3.0,,,,,,,,,718.0,2.0,,,,,718.0,2.0,,,,,,,,,500.0,10.0,IV,,"['B05BB02', '0', nan, 'IV']",330.0
"AHOC, The Department of Anesthesiology",B05XA02,741157,Natriumbikarbonat SAD,1,infusionskoncentrat,10 ml amp x10,12959.03,49.0,,,,,,,264.47,1.0,,,264.47,1.0,264.47,1.0,,,,,264.47,1.0,264.47,1.0,,,264.47,1.0,264.47,1.0,,,264.47,1.0,264.47,1.0,264.47,1.0,,,264.47,1.0,264.47,1.0,,,528.94,2.0,528.94,2.0,264.47,1.0,1057.88,4.0,,,,,528.94,2.0,,,264.47,1.0,,,264.47,1.0,264.47,1.0,1057.88,4.0,,,264.47,1.0,264.47,1.0,264.47,1.0,793.41,3.0,,,793.41,3.0,,,,,528.94,2.0,528.94,2.0,,,,,264.47,1.0,793.41,3.0,528.94,2.0,,,10.0,10.0,IV,MOM,"['B05XA02', '1', 'MOM', 'IV']",490.0
"AHOC, The Department of Anesthesiology",B05AA01,109697,Human Albumin CSL Behring,20,"inf.væske, opløsning",1 x 100 ml,644.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.1,2.0,,,,,,,100.0,1.0,IV,PV,"['B05AA01', '20', 'PV', 'IV']",2.0
"AHOC, The Department of Anesthesiology",B05AA01,110124,Human Albumin CSL Behring,5,"inf.væske, opløsning",1 x 250 ml,48405.0,252.0,,,1281.0,7.0,936.0,5.0,748.8,4.0,748.8,4.0,1310.4,7.0,561.6,3.0,1497.6,8.0,,,1123.2,6.0,936.0,5.0,2246.4,12.0,374.4,2.0,561.6,3.0,936.0,5.0,1497.6,8.0,561.6,3.0,748.8,4.0,748.8,4.0,1497.6,8.0,1123.2,6.0,936.0,5.0,748.8,4.0,1123.2,6.0,,,748.8,4.0,1310.4,7.0,374.4,2.0,748.8,4.0,,,561.6,3.0,561.6,3.0,936.0,5.0,1310.4,7.0,1497.6,8.0,804.8,4.0,1609.6,8.0,2012.0,10.0,1006.0,5.0,1207.2,6.0,2012.0,10.0,,,,,804.8,4.0,1006.0,5.0,1609.6,8.0,804.8,4.0,2012.0,10.0,804.8,4.0,1207.2,6.0,1207.2,6.0,,,250.0,1.0,IV,PV,"['B05AA01', '5', 'PV', 'IV']",252.0
"AHOC, The Department of Anesthesiology",C01BD01,106004,Amiodaron Hameln,50,konc.inj.inf.vsk.opl,10 x 3ml,289.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.85,1.0,,,,,,,,,,,,,,,,,,,144.85,1.0,,,,,,,,,,,,,,,,,,,3.0,10.0,IV,MGM,"['C01BD01', '50', 'MGM', 'IV']",20.0
"AHOC, The Department of Anesthesiology",C01CA02,722477,Isoprenalinhydrochlorid,1,konc.t.inf.væsk.opl.,10 x 5 ml,1038.12,2.0,,,,,,,,,,,,,,,,,519.06,1.0,,,,,,,,,,,519.06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,IV,MGM,"['C01CA02', '1', 'MGM', 'IV']",20.0
"AHOC, The Department of Anesthesiology",C01CA03,478792,Noradrenalin Macure,1,konc.t.inf.væsk.opl.,10 x 10 ml,6130.0,10.0,,,,,,,,,,,,,613.0,1.0,613.0,1.0,,,,,,,613.0,1.0,,,,,,,,,1226.0,2.0,,,,,,,613.0,1.0,,,,,,,,,,,,,,,613.0,1.0,,,,,,,,,,,,,,,,,,,1226.0,2.0,,,,,,,,,,,613.0,1.0,,,,,,,,,,,,,,,10.0,10.0,IV,MGM,"['C01CA03', '1', 'MGM', 'IV']",100.0
"AHOC, The Department of Anesthesiology",C01CA03,745661,Noradrenalin SAD,1,injektionsvæske,1 ml amp x10,6732.0,51.0,,,,,,,,,396.0,3.0,,,264.0,2.0,396.0,3.0,,,528.0,4.0,,,792.0,6.0,,,,,,,,,,,,,,,,,396.0,3.0,,,528.0,4.0,,,,,660.0,5.0,,,396.0,3.0,,,,,,,,,,,,,,,,,,,396.0,3.0,,,,,396.0,3.0,924.0,7.0,,,660.0,5.0,,,,,,,,,,,,,,,,,1.0,10.0,IV,MGM,"['C01CA03', '1', 'MGM', 'IV']",510.0
"AHOC, The Department of Anesthesiology",C01CA03,748632,Noradrenalin SAD,1,injektionsvæske,10 ml x10,4977.0,9.0,553.0,1.0,553.0,1.0,,,,,,,,,553.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.0,2.0,1106.0,2.0,,,,,,,10.0,10.0,IV,MGM,"['C01CA03', '1', 'MGM', 'IV']",90.0
"AHOC, The Department of Anesthesiology",C01CA04,545228,Dopmin,40,konc.t.inf.væsk.opl.,5 amp. a 5 ml,1280.13,3.0,,,,,,,,,,,,,,,,,,,,,,,,,426.71,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.42,2.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,IV,MGM,"['C01CA04', '40', 'MGM', 'IV']",15.0
"AHOC, The Department of Anesthesiology",C01CA06,722283,Metaoxedrin,"0,1",injektionsvæske,10 x 20 ml,16478.76,54.0,906.93,3.0,,,305.33,1.0,305.33,1.0,305.33,1.0,610.66,2.0,,,610.66,2.0,,,,,610.66,2.0,610.66,2.0,,,,,915.99,3.0,,,305.33,1.0,610.66,2.0,305.33,1.0,305.33,1.0,,,305.33,1.0,915.99,3.0,,,610.66,2.0,,,305.33,1.0,915.99,3.0,,,,,305.33,1.0,,,,,610.66,2.0,,,,,,,305.33,1.0,305.33,1.0,915.99,3.0,,,610.66,2.0,305.33,1.0,,,915.99,3.0,,,610.66,2.0,610.66,2.0,,,305.33,1.0,,,915.99,3.0,20.0,10.0,IMIVSC,MGM,"['C01CA06', '0,1', 'MGM', 'IMIVSC']",540.0
"AHOC, The Department of Anesthesiology",C01CA06,746701,Metaoxedrin SAD,1,injektionsvæske,1 ml amp x10,7218.12,42.0,,,343.72,2.0,515.58,3.0,,,,,515.58,3.0,,,,,343.72,2.0,,,687.44,4.0,,,687.44,4.0,,,,,,,,,,,515.58,3.0,,,,,,,,,1031.16,6.0,,,515.58,3.0,,,,,,,515.58,3.0,,,,,,,,,,,515.58,3.0,,,,,,,,,687.44,4.0,,,,,,,,,,,,,,,343.72,2.0,,,,,,,1.0,10.0,IMIVSC,MGM,"['C01CA06', '1', 'MGM', 'IMIVSC']",420.0
