1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;C05BA01;56533;Hirudoid;3 mg/g;salve;1 tube a 40 g;419;400;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;419;400;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;C05BA01;56551;Hirudoid;3 mg/g;gel;1 tube a 40 g;419;400;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;419;400;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;C10AX06;222768;Pikasol Premium;1.000 mg;kapsler;120 stk.;827,7;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;413,85;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;413,85;0;5;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;H02AB04;166803;Solu-Medrol lactosefri;40 mg;pulv.og sol.t.inj.op;1 htgl. + solv. u/kons.;108,4;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,4;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;M01AE01;71319;Ibuprofen Orifarm;200 mg;filmovertrukne tabl.;250 stk.;347,8;166,67;4;;;;;;;;;;;;;;;;;;;347,8;166,67;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;M01AE01;546281;Ibuprofen Teva;200 mg;filmovertrukne tabl.;100 stk. (blister);61;66,67;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,5;33,33;2;16,25;16,67;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,25;16,67;1;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N01BB02;12641;Xylocain;10 mg/ml;inj.væske, opløsning;5 x 10 ml;645,9;15;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;645,9;15;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N01BB02;437249;Xylocaine;10 mg/dosis;kutanspray, opløsn.;50 ml;282,53;1.500,00;3;;;;;;;;;;;;;;;;94,19;500;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94,19;500;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94,15;500;1;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N01BB02;443122;Xylocain;10 mg/ml;inj.væske, opløsning;5 x 20 ml;137,16;15;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;137,16;15;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N01BB20;388256;Emla;25+25 mg/g;creme;5 x 5 g + 12 plastre;85,57;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85,57;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N02AJ07;400764;Kodimagnyl Ikke-stoppende DAK;500+9,6 mg;filmovertrukne tabl.;100 stk.;44,5;16,67;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,5;16,67;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N02BA51;163082;Triplo;500+50 mg;brusetabletter;20 stk.;33,7;6,67;2;;;;;;;;;;;;;;;;;;;;;;;;;33,7;6,67;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N02BE01;64318;Paracetamol Orifarm;500 mg;filmovertrukne tabl.;300 stk.;45,08;100;2;;;;;;;;;;;;;;;;;;;45,08;100;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N02BE01;83644;Panodil;500 mg;filmovertrukne tabl.;300 stk.;23,7;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,7;50;1;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;N05BA12;101828;Alprox;1 mg;tabletter;100 stk.;480;400;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;100;1;;;;;;;;;;;;;;;;;;;120;100;1;120;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;R03AC02;149203;Ventoline;0,1 mg/dosis;inhal.spray, susp.;200 doser;4,31;25;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,31;25;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;R06AE07;170273;Alnok;10 mg;filmovertrukne tabl.;100 stk. (blister);34,7;200;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,35;100;1;;;;;;;;;;;;;;;;;;;;;;;;;17,35;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V07A***;818369;Tabletposer/Minigrip 11-61;60 x 80 mm;_;100 stk.;25,08;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,08;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V07AB**;745984;Natriumklorid isotonisk SAD;9 mg/ml;injektionsvæske;50 ml PL x10;4.168,75;14,5;29;;;;;;;1.437,50;5;10;;;;;;;575;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.437,50;5;10;718,75;2,5;5;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V07AB**;842166;BD PosiFlush SP;0,90%;Skyllevæske;480 x 10 ml (1 hel kasse);31.954,56;2.640,00;44;;;;;;;726,24;60;1;726,24;60;1;726,24;60;1;1.452,48;120;2;;;;726,24;60;1;1.452,48;120;2;726,24;60;1;;;;;;;726,24;60;1;726,24;60;1;726,24;60;1;;;;726,24;60;1;726,24;60;1;1.452,48;120;2;726,24;60;1;726,24;60;1;726,24;60;1;726,24;60;1;726,24;60;1;726,24;60;1;;;;;;;;;;1.452,48;120;2;726,24;60;1;726,24;60;1;726,24;60;1;726,24;60;1;726,24;60;1;;;;;;;726,24;60;1;726,24;60;1;726,24;60;1;726,24;60;1;;;;;;;726,24;60;1;1.452,48;120;2;;;;;;;;;;;;;726,24;60;1;726,24;60;1;3.631,20;300;5;726,24;60;1
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V07AV**;720886;Hospitalssprit,sterilfiltreret;70 % v/v;sprit;6 x 1.000 ml;958,8;0;6;;;;;;;;;;;;;;;;;;;;;;;;;319,6;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;159,8;0;1;;;;;;;;;;;;;;;;159,8;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;319,6;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V07AY**;815522;Ampul knækkere;_;_;100 stk.;62,7;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62,7;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08AB02;582650;Omnipaque;350 mg jod/ml;inj.væske, opløsning;10 x 100 ml (usb);4.564,60;116,67;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.825,84;46,67;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.738,76;70;3;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08AB02;582809;Omnipaque;350 mg jod/ml;inj.væske, opløsning;6 x 500 ml (USB);859.419,12;20.580,00;294;;;;;;;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;24.194,66;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;;;;;;;;;;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;18.969,44;490;7;;;;;;;18.969,44;490;7;18.969,44;490;7;;;;;;;;;;;;;;;;56.908,32;1.470,00;21;18.969,44;490;7;18.969,44;490;7
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08AB09;583518;Visipaque;320 mg iod/ml;inj.væske, opløsning;10 x 100 ml (usb);9.127,10;170,66;8;;;;;;;;;;;;;;;;;;;3.527,31;64;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.351,54;42,67;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.248,25;64;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08AB09;583708;Visipaque;320 mg iod/ml;inj.væske, opløsning;6 x 500 ml;6.401,28;128;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.401,28;128;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08CA04;539445;Prohance;279,3 mg/ml;inj.væske, opløsning;10 x 15 ml;11.175,60;107,14;10;;;;;;;11.175,60;107,14;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08CA09;434088;Gadovist;1 mmol/ml;inj.væske, opløsning;10 x 15 ml;44.154,32;342,86;16;;;;10.644,80;85,72;4;;;;;;;;;;5.322,40;42,86;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.644,80;85,72;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.618,60;107,15;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.923,72;21,43;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08CA09;522822;Gadovist;1 mmol/ml;inj.vsk,opl.,sprøjte;5 x 7,5 ml;705.550,73;5.148,08;961;14.686,60;107,14;20;73.433,00;535,7;100;;;;;;;;;;110.149,50;803,55;150;;;;;;;;;;;;;;;;;;;33.044,85;241,07;45;3.671,65;26,79;5;;;;14.686,60;107,14;20;36.716,50;267,85;50;;;;36.716,50;267,85;50;;;;;;;14.686,60;107,14;20;;;;;;;14.686,60;107,14;20;44.059,80;321,42;60;14.686,60;107,14;20;;;;;;;14.686,60;107,14;20;;;;14.686,60;107,14;20;;;;14.686,60;107,14;20;29.373,20;214,28;40;;;;29.373,20;214,28;40;;;;30.107,53;219,64;41;14.686,60;107,14;20;14.686,60;107,14;20;;;;29.342,00;214,28;40;14.671,00;107,14;20;;;;;;;29.342,00;214,28;40;;;;;;;29.342,00;214,28;40;29.342,00;214,28;40;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08CA10;466658;Primovist;0,25 mmol/ml;inj.vsk,opl.,sprøjte;5 x 10 ml;30.695,65;35,72;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.695,65;35,72;5;;;;;;;;;;;;;;;
1301-A22215-A2221517 MR Sektion;222151703 Røntgen og Skanning 6001X1;V08DA05;5615;SonoVue;8 mikroliter/ml;pulv.og sol.t.inj.di;1 sæt;5.074,50;20;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.074,50;20;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
